,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2022-07-19,2.81,0.83,-0.54,-0.22,-0.66,0.004,0.04356378803426364
2022-07-20,0.89,1.08,-1.33,-1.47,-1.59,0.004,0.03808196297652433
2022-07-21,0.97,-0.38,-1.61,-0.26,-1.0,0.004,-0.004
2022-07-22,-1.18,-0.85,1.39,1.77,1.52,0.004,-0.03906906791255771
2022-07-25,0.12,0.1,1.65,0.64,0.54,0.004,-0.024925064094686974
2022-07-26,-1.32,0.37,1.07,0.65,1.23,0.004,-0.055743534351208046
2022-07-27,2.72,0.15,-1.27,-0.19,-1.5,0.004,0.051753178688015655
2022-07-28,1.2,-0.03,-0.92,0.14,-0.96,0.004,0.019595510915499496
2022-07-29,1.45,-0.91,0.45,0.49,-1.23,0.004,-0.010586110669982936
2022-08-01,-0.2,0.17,-0.24,0.22,0.36,0.008,-0.009104997643212591
2022-08-02,-0.5,0.56,-1.41,-2.23,-0.52,0.008,0.013017652785958019
2022-08-03,1.67,0.27,-1.95,-1.54,-0.85,0.008,0.10900985167315613
2022-08-04,-0.05,0.41,-1.65,-1.3,-0.94,0.008,0.04728609812078078
2022-08-05,-0.04,0.95,-0.05,-1.27,-0.21,0.008,-0.052117692174795664
2022-08-08,0.0,0.96,-0.09,-0.54,0.22,0.008,0.018923143934218574
2022-08-09,-0.67,-1.35,2.11,0.86,1.29,0.008,-0.06230710740944167
2022-08-10,2.35,0.75,-1.62,-1.37,-1.45,0.008,0.03952470535713771
2022-08-11,-0.07,0.21,1.67,0.78,1.0,0.008,-0.014616228291965842
2022-08-12,1.76,0.5,-0.8,-0.64,-0.59,0.008,0.03196194739746706
2022-08-15,0.38,-0.02,-0.61,-0.19,-0.05,0.008,-0.0006807025185375723
2022-08-16,0.19,-0.14,0.7,1.04,0.52,0.008,-0.017990972576277235
2022-08-17,-0.92,-0.92,1.04,1.27,0.71,0.008,-0.052036656792199924
2022-08-18,0.27,0.35,0.45,0.8,0.05,0.008,-0.03199232228114501
2022-08-19,-1.49,-0.94,0.98,1.03,1.35,0.008,-0.09747884371537996
2022-08-22,-2.13,-0.05,0.34,0.15,0.21,0.008,-0.03175812760162033
2022-08-23,-0.11,0.12,0.31,-0.36,-0.25,0.008,0.007486763707248441
2022-08-24,0.39,0.52,-0.62,-1.45,-0.56,0.008,0.007250477668231399
2022-08-25,1.45,0.12,-0.01,0.18,-0.39,0.008,0.04457518678510209
2022-08-26,-3.37,-0.27,1.66,0.16,0.89,0.008,-0.051832852883056495
2022-08-29,-0.71,-0.39,0.44,0.26,0.44,0.008,-0.008
2022-08-30,-1.11,-0.39,-0.22,-0.25,0.12,0.008,0.0015948988795140354
2022-08-31,-0.75,0.24,-0.47,-0.66,-0.18,0.008,0.0004477213780644876
2022-09-01,0.0,-1.05,-0.28,0.56,0.55,0.009,-0.0006230448054159645
2022-09-02,-0.99,0.1,1.03,-0.05,0.26,0.009,-0.027691620253031728
2022-09-06,-0.51,-0.54,-0.54,-0.2,-0.69,0.009,0.003698400844562086
2022-09-07,1.92,0.41,-1.54,-1.35,-0.54,0.009,0.020258170906415247
2022-09-08,0.78,-0.15,-0.18,-1.22,-1.06,0.009,0.016380709676957157
2022-09-09,1.67,0.37,-0.51,-0.14,-0.52,0.009,0.040504948625283206
2022-09-12,1.07,0.25,-0.17,-0.12,-0.16,0.009,0.0296792294959577
2022-09-13,-4.29,0.06,1.41,-0.37,1.0,0.009,-0.06349594632121656
2022-09-14,0.44,-0.18,-0.32,-0.78,-0.52,0.009,0.026542736885924463
2022-09-15,-1.04,0.39,0.61,-0.33,0.25,0.009,0.03459928373572108
2022-09-16,-0.98,-0.75,0.86,1.71,0.95,0.009,-0.0978888888888889
2022-09-19,0.72,-0.09,0.68,0.63,-0.06,0.009,-0.008024367913967203
2022-09-20,-1.15,-0.29,0.03,-0.12,0.33,0.009,-0.04018914633137482
2022-09-21,-1.68,0.35,0.06,0.38,0.12,0.009,-0.011012022629138354
2022-09-22,-1.14,-1.14,0.44,1.14,1.02,0.009,-0.036217787871685385
2022-09-23,-1.85,-0.46,-0.8,0.19,-0.18,0.009,-0.030761662844392405
2022-09-26,-1.02,-0.04,-0.75,0.16,-0.44,0.009,-0.030186421414757685
2022-09-27,-0.05,0.58,-0.97,-0.65,-0.92,0.009,0.03104327864981172
2022-09-28,2.14,0.9,-0.36,-0.87,-0.82,0.009,0.032623370082709775
2022-09-29,-2.16,-0.29,0.92,0.43,0.55,0.009,-0.03297600056248683
2022-09-30,-1.43,0.57,0.27,-0.66,-0.12,0.009,0.024776858571569867
2022-10-03,2.56,0.0,0.7,0.89,0.43,0.011,-0.011
2022-10-04,3.3,0.74,-0.09,-0.97,-0.39,0.011,0.06028705803570679
2022-10-05,-0.21,-0.37,0.05,0.34,0.14,0.011,-0.016545237304496963
2022-10-06,-0.85,0.45,0.12,-0.13,-0.51,0.011,0.027104074227767404
2022-10-07,-2.9,-0.22,1.68,0.93,1.57,0.011,-0.04412442999390208
2022-10-10,-0.8,0.24,0.76,1.54,0.44,0.011,-0.03692590074316836
2022-10-11,-0.7,0.62,0.33,0.57,0.61,0.011,-0.018604645807912646
2022-10-12,-0.27,0.02,0.04,0.01,0.03,0.011,0.010072823359321591
2022-10-13,2.41,-0.24,1.57,0.65,0.93,0.011,-0.013814233902496243
2022-10-14,-2.46,-0.18,1.23,0.55,1.73,0.011,-0.0806142768721959
2022-10-17,2.74,0.35,-1.41,-0.97,-1.29,0.011,0.021355883085511517
